PC	batch	Island	Sampling.Site	Language	Sampling.Date	Age	RNA.Extraction.Batch	Sequencing.pool	RIN	Mappi	Season	Gran	Bcell	CD4T	CD8T	NK	Mono	replicate	Variance
68	0.988418714641791	0.941936502843288	0.745656306215326	0.746384031610241	0.799903014913879	0.539661757019762	0.70845973922131	0.414055807496314	0.765463390423626	0.920679655501092	0.920679655501092	0.960750575323306	0.995134888076026	0.975160775002615	0.923645239849491	0.544999714157669	0.954674247577215	0.827543611584926	0.00247585869634096
69	0.989910160824425	0.967324574378835	0.873165975284001	0.882817127356119	0.898631833094852	0.205975236183151	0.12075510956902	0.99643410397841	0.999302621475348	0.957030398897724	0.957030398897724	0.847437041830393	0.850954777622072	0.956157233665724	0.534027730811911	0.447797411010935	0.969070448616468	0.568541230496706	0.00246418806171904
70	0.913080717749515	0.887948478173409	0.277776013154636	0.249251354749198	0.418521396105861	0.200558925672677	0.852630495413392	0.977017941800173	0.661172289764031	0.874587311630415	0.874587311630415	0.97052943692617	0.896697748279905	0.718483423722083	0.435915011779639	0.811368964018386	0.844885419916533	0.899146885710812	0.00244546799233247
71	0.991303655412133	0.969629066453591	0.847170600661889	0.915257084510512	0.896024972730589	0.556466896766145	0.0855619791639795	0.0159906058194561	0.491829598121227	0.918305712467607	0.918305712467607	0.649848648528904	0.796717575075121	0.403105789510892	0.997290498437932	0.744342628391948	0.935619375032613	0.791959837066086	0.00243104211824657
72	0.998805959375693	0.999773832473493	0.944818479870744	0.942419132208115	0.982181743068493	0.943493500184041	0.121360113051672	0.848307527077971	0.852121027096201	0.993365929695404	0.993365929695404	0.911797779395596	0.830482710980725	0.852211026526658	0.899607232561997	0.907298179434662	0.882535312060718	0.791952948069365	0.0023944258524427
73	0.965386733245437	0.976808126397971	0.559788621680332	0.608974195792602	0.69676594683785	0.375674113062777	0.834422393320703	0.225302962302791	0.686300733054719	0.835406044030903	0.835406044030903	0.716558348100262	0.976281701196276	0.822274492249862	0.888416944516609	0.563150012313279	0.822168157054999	0.845187382968159	0.00237377136768748
74	0.985925325619823	0.953625076830624	0.949456302250049	0.979035436762561	0.715516386462282	0.661320529842868	0.856456592515941	0.76251170706282	0.419181863581785	0.77941539387616	0.77941539387616	0.893748024811525	0.952511525006027	0.862667916865297	0.771305085863273	0.37897959692578	0.755274948525727	0.831931939105624	0.00234841408872579
75	0.914530630879259	0.972606011072808	0.467861129427094	0.0506667692255431	0.465796988688622	0.903565010357142	0.330721561247956	0.617241813322477	0.380202398734448	0.822845781368291	0.822845781368291	0.918650118154572	0.864500369259767	0.822984074305848	0.980404921761407	0.72591331599965	0.974121860201552	0.734085095900063	0.0023417551221919
76	0.920788399754754	0.948921920241484	0.637190033001933	0.796769408515075	0.618760426678652	0.207008433654286	0.670488727786959	0.755387120442102	0.711952849580054	0.858072915706892	0.858072915706892	0.660091380580636	0.827123013823372	0.561141850805013	0.758002925834513	0.694394050447649	0.838831586902056	0.809350013976247	0.00232699855977674
77	0.993908692534561	0.980323779753618	0.421034158530615	0.23729037461217	0.578353013558998	0.749297201989958	0.602763721099018	0.979992563261991	0.470358054221692	0.844245180472576	0.844245180472576	0.873154640787928	0.980229053136882	0.999140943575519	0.736322681338347	0.926703273325477	0.921514204175599	0.752949216837129	0.0023064693760335
